fixture_date,season,division,home_team,away_team,home_sp,away_sp,url,home_op,away_op
2025-01-15,24,1,Moulsecoomb B,St. Matthias B,12,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226486.html,529,515
2025-01-15,24,1,St. Matthias A,Moulsecoomb A,13,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226485.html,558,549
2025-01-29,24,1,Moulsecoomb A,Moulsecoomb B,8,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226483.html,513,600
2025-01-29,24,1,St. Matthias B,St. Matthias A,13,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226484.html,564,592
2025-02-05,24,1,Moulsecoomb A,St. Matthias B,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226487.html,516,600
2025-02-05,24,1,St. Matthias A,Moulsecoomb B,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226488.html,563,580
2025-02-12,24,1,Moulsecoomb B,Moulsecoomb A,12,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226489.html,558,600
2025-02-12,24,1,St. Matthias A,St. Matthias B,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226490.html,600,487
2025-03-05,24,1,Moulsecoomb A,St. Matthias A,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226491.html,598,561
2025-03-05,24,1,St. Matthias B,Moulsecoomb B,15,7,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226492.html,600,477
2025-03-12,24,1,Moulsecoomb B,St. Matthias A,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226494.html,568,552
2025-03-12,24,1,St. Matthias B,Moulsecoomb A,15,7,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226493.html,600,492
2024-09-25,24,1,Moulsecoomb A,Moulsecoomb B,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226471.html,543,600
2024-09-25,24,1,St. Matthias B,St. Matthias A,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226472.html,600,475
2024-10-02,24,1,Moulsecoomb B,St. Matthias B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226474.html,599,580
2024-10-02,24,1,St. Matthias A,Moulsecoomb A,10,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226473.html,504,564
2024-10-23,24,1,Moulsecoomb A,St. Matthias B,15,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226475.html,600,549
2024-10-23,24,1,St. Matthias A,Moulsecoomb B,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226476.html,580,570
2024-10-30,24,1,Moulsecoomb B,Moulsecoomb A,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226477.html,576,564
2024-10-30,24,1,St. Matthias A,St. Matthias B,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/38226478.html,537,599
