fixture_date,season,division,home_team,away_team,home_score,away_score,URLs,fixtureID
2023-09-25,23,1,Brighton Castle Juniors,St. Matthias A,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582604.html,NA
2023-09-25,23,1,Castle Club  A,St. Matthias C,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582607.html,NA
2023-09-25,23,1,Portslade Sports B,Portslade Sports A,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582605.html,NA
2023-09-25,23,1,St. Matthias D,St. Matthias B,6,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582606.html,NA
2023-09-25,23,1,St. Matthias E,Castle Club  B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582608.html,NA
2023-10-02,23,1,Castle Club  B,Portslade Sports B,6,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582612.html,NA
2023-10-02,23,1,Portslade Sports A,Castle Club  A,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582610.html,NA
2023-10-02,23,1,St. Matthias A,St. Matthias D,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582611.html,NA
2023-10-02,23,1,St. Matthias B,St. Matthias E,0,6,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582609.html,NA
2023-10-02,23,1,St. Matthias C,Brighton Castle Juniors,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582613.html,NA
2023-10-09,23,1,Brighton Castle Juniors,Portslade Sports A,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582615.html,NA
2023-10-09,23,1,Castle Club  A,Castle Club  B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582616.html,NA
2023-10-09,23,1,Portslade Sports B,St. Matthias B,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582618.html,NA
2023-10-09,23,1,St. Matthias A,St. Matthias C,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582614.html,NA
2023-10-09,23,1,St. Matthias E,St. Matthias D,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582617.html,NA
2023-10-16,23,1,Castle Club  B,Brighton Castle Juniors,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582623.html,NA
