Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score,Season
06/09/2010,19:00,Division 1,Brighton & Hove Golf Club,East Brighton Golf Club,,,2,3,10
06/09/2010,19:00,Division 1,Castle Snooker Club A,Portslade Royal British Legion A,,,5,0,10
06/09/2010,19:00,Division 1,Castle Snooker Club C,St. Matthias A,,,3,2,10
06/09/2010,19:00,Division 1,Moulsecoomb Club A,Castle Snooker Club B,,,2,3,10
13/09/2010,19:00,Division 1,Castle Snooker Club B,Brighton & Hove Golf Club,,,2,3,10
13/09/2010,19:00,Division 1,East Brighton Golf Club,Castle Snooker Club A,,,1,4,10
13/09/2010,19:00,Division 1,Portslade Royal British Legion A,Castle Snooker Club C,,,2,3,10
13/09/2010,19:00,Division 1,St. Matthias A,Moulsecoomb Club A,,,3,2,10
20/09/2010,19:00,Division 1,Brighton & Hove Golf Club,St. Matthias A,,,3,2,10
20/09/2010,19:00,Division 1,Castle Snooker Club A,Castle Snooker Club B,,,2,3,10
20/09/2010,19:00,Division 1,Castle Snooker Club C,Moulsecoomb Club A,,,0,5,10
20/09/2010,19:00,Division 1,Portslade Royal British Legion A,East Brighton Golf Club,,,2,3,10
27/09/2010,19:00,Division 1,Castle Snooker Club B,Portslade Royal British Legion A,,,4,1,10
27/09/2010,19:00,Division 1,East Brighton Golf Club,Castle Snooker Club C,,,3,2,10
27/09/2010,19:00,Division 1,Moulsecoomb Club A,Brighton & Hove Golf Club,,,3,2,10
27/09/2010,19:00,Division 1,St. Matthias A,Castle Snooker Club A,,,2,3,10
04/10/2010,19:00,Division 1,Castle Snooker Club A,Moulsecoomb Club A,,,1,4,10
04/10/2010,19:00,Division 1,Castle Snooker Club C,Brighton & Hove Golf Club,,,2,3,10
04/10/2010,19:00,Division 1,East Brighton Golf Club,Castle Snooker Club B,,,1,4,10
04/10/2010,19:00,Division 1,Portslade Royal British Legion A,St. Matthias A,,,3,2,10
11/10/2010,19:00,Division 1,Brighton & Hove Golf Club,Castle Snooker Club A,,,1,4,10
11/10/2010,19:00,Division 1,Castle Snooker Club B,Castle Snooker Club C,,,3,2,10
11/10/2010,19:00,Division 1,Moulsecoomb Club A,Portslade Royal British Legion A,,,4,1,10
11/10/2010,19:00,Division 1,St. Matthias A,East Brighton Golf Club,,,2,3,10
18/10/2010,19:00,Division 1,Castle Snooker Club B,St. Matthias A,,,3,2,10
18/10/2010,19:00,Division 1,Castle Snooker Club C,Castle Snooker Club A,,,0,5,10
18/10/2010,19:00,Division 1,East Brighton Golf Club,Moulsecoomb Club A,,,2,3,10
18/10/2010,19:00,Division 1,Portslade Royal British Legion A,Brighton & Hove Golf Club,,,2,3,10
25/10/2010,19:00,Division 1,Castle Snooker Club B,Moulsecoomb Club A,,,2,3,10
