Season,Division,Results URL
14,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/905121246/1_141406656/-1/-1.html
14,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/905121246/1_163721379/-1/-1.html
14,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/905121246/1_589059196/-1/-1.html
14,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/905121246/1_154451360/-1/-1.html
14,5,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/905121246/1_368200155/-1/-1.html
15,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/727427908/1_327360544/-1/-1.html
15,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/727427908/1_11112952/-1/-1.html
15,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/727427908/1_61886655/-1/-1.html
15,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/727427908/1_817235550/-1/-1.html
15,5,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/727427908/1_308518615/-1/-1.html
16,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/980323215/1_216769784/-1/-1.html
16,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/980323215/1_813570084/-1/-1.html
16,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/980323215/1_410912041/-1/-1.html
16,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/980323215/1_643843849/-1/-1.html
17,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/324496002/1_361594457/-1/-1.html
17,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/324496002/1_89990619/-1/-1.html
17,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/324496002/1_728067235/-1/-1.html
17,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/324496002/1_330642969/-1/-1.html
18,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/794966805/1_410982981/-1/-1.html
18,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/794966805/1_773332879/-1/-1.html
18,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/794966805/1_66166599/-1/-1.html
18,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/794966805/1_866980168/-1/-1.html
19,1,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/963805297/1_246052795/-1/-1.html
19,2,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/963805297/1_734554167/-1/-1.html
19,3,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/963805297/1_546594786/-1/-1.html
19,4,http://brightonhovedistrictsnooker.leaguerepublic.com/l/results/963805297/1_489047214/-1/-1.html
21,1,https://brightonhovedistrictsnooker.leaguerepublic.com/results/175987384/1_154802205/-1/-1.html
21,2,https://brightonhovedistrictsnooker.leaguerepublic.com/results/175987384/1_45554681/-1///-1.html
22,1,https://brightonhovedistrictsnooker.leaguerepublic.com/results/511611623/1_160153256/-1/-1.html
22,2,https://brightonhovedistrictsnooker.leaguerepublic.com/results/511611623/1_20598079/-1///-1.html
